id,song_spotify,artist_spotify,album,release_date,popularity
1icgLGTpX2fQXKRe4D7w2b,BACK TO ME,¥$,VULTURES 1,2024-02-09,81
0FlwhvrncUKrEAhzunmCKm,Forever,Noah Kahan,Stick Season (Forever),2024-02-09,81
1eaqMiiUn2P7MnqJK4XeK0,TALKING,¥$,VULTURES 1,2024-02-09,74
04CyMEHliadfQWMUJb1w99,BURN,¥$,VULTURES 1,2024-02-09,86
3SIRBp4RRQ2AO5H4NO7xfq,VULTURES,¥$,VULTURES 1,2024-02-09,75
6XXxKsu3RJeN3ZvbMYrgQW,16 CARRIAGES,Beyoncé,COWBOY CARTER,2024-03-29,81
347AQK5Lyhn6RvB8tBGYxt,STARS,¥$,VULTURES 1,2024-02-09,79
2iGvsJuc2mC4mDVOVMNAP6,DO IT,¥$,VULTURES 1,2024-02-09,79
2y4ZR0BUAVePljHSsZyIgj,PAID,¥$,VULTURES 1,2024-02-09,76
7hVb3OyFkgxDgpTdrOX6dT,KEYS TO MY LIFE,¥$,VULTURES 1,2024-02-09,73
2yyO7EKRr7c3txi4xCXUFk,PAPERWORK,¥$,VULTURES 1,2024-02-09,76
4ihV1wv7QmjbkLHaT9lA4s,BEG FORGIVENESS,¥$,VULTURES 1,2024-02-09,74
1eThXFmkENeSkdeLO8S86F,HOODRAT,¥$,VULTURES 1,2024-02-09,71
5GtUTcvOx52F5648wXQfc7,PROBLEMATIC,¥$,VULTURES 1,2024-02-09,74
3cBvflSY5luZT6FUzrAOQZ,You're Gonna Go Far (with Brandi Carlile),Noah Kahan,Stick Season (Forever),2024-02-09,38
0SdBkFh6u5IHIXqlBu0NyI,Yeah Glo!,GloRilla,Yeah Glo!,2024-02-09,78
0tnu9EmqgIt9d5zcRbCeSX,Good Smoke,Diezzle Don,1995 (Year Of The Independent),1995-09-19,0
4vR06Ap6iJMDQsoZROoh7L,YEA I RAP,King Hendrick$,The Tale Of King Hendrix,2024-04-16,29
1ytVc8fTgA7hAOOR0n4EH7,Sunday Service,Latto,Sunday Service,2024-02-09,69
7sTyAjxDXq9afwfSQy6D0s,Bandit,Don Toliver,Bandit,2024-02-01,86
2M9ro2krNb7nr7HSprkEgo,Fast Car,Tracy Chapman,Tracy Chapman,1988-04-05,83
1KTemUlHzS0SvVtTjY1NTw,Turn the Lights Back On,Billy Joel,Turn the Lights Back On,2024-02-01,66
4iEoDBAgMJIzest7VsDgmT,Get In With Me,BossMan Dlow,Get In With Me,2024-01-19,76
1Y1jtaZOJYgXBl7lKdLc9o,A Cold Sunday,Lil Yachty,A Cold Sunday,2024-02-02,79
3Pbp7cUCx4d3OAkZSCoNvn,Scared To Start,Michael Marcagi,Scared To Start,2024-01-12,92
79AHPJd8upvNxyK2qQcY8J,HISS,Megan Thee Stallion,HISS,2024-01-26,78
2ue12T2b9JXlErJJ6NSs8W,FACTS,Tom MacDonald,FACTS,2024-01-26,63
0QosomGFiJYOxj2ViZfqng,Selfish,Justin Timberlake,Selfish,2024-01-25,81
587Ks4sb6Wd2qRVS5i9fdW,Big Foot,Nicki Minaj,Big Foot,2024-01-29,62
47Xj8eIAp7hYOOqArmkqZE,Spin You Around (1/24),Morgan Wallen,Spin You Around (1/24),2024-01-26,82
4w2Furap0ZzaiK4J14E9sR,Think U The Shit (Fart),Ice Spice,Think U The Shit (Fart),2024-01-26,81
3h5TiWTqGxjSjFrbruPFH9,Praise Jah In The Moonlight,YG Marley,Praise Jah In The Moonlight,2023-12-27,91
6dpLxbF7lfCAnC9QRTjNLK,Home,Good Neighbours,Home,2024-01-17,90
6et5HwX6nTYddg7hDGAxug,ONE CALL,Rich Amiri,ONE CALL,2023-11-03,81
5owS9iWWGd6mDlFjUFzBsw,Creek Will Rise,Conner Smith,Creek Will Rise,2023-02-24,65
05tGmdz9dVZ4yGqz4YJdPK,La Intención,Christian Nodal,La Intención,2024-01-27,85
02FAxAwzApe6pAqfAL3dLr,All I Need Is You,Chris Janson,All I Need Is You,2023-01-27,53
6tNQ70jh4OwmPGpYy6R2o9,Beautiful Things,Benson Boone,Beautiful Things,2024-01-18,99
2uHgCkaiHwZKl7tDBTVsyW,No Caller ID,Megan Moroney,No Caller ID,2024-01-19,76
7aZDcmt34eouhqw29aMR91,Skin and Bones,David Kushner,Skin and Bones,2024-01-19,79
3QQAeMQbbjZXVFbF8DgFWT,FIRST LOVE,Oscar Ortiz,FIRST LOVE,2023-12-07,88
44G2gUVQvNNZ6w3i05tR4n,Sensational (feat. Davido & Lojay),Chris Brown,11:11,2023-11-10,73
7gaA3wERFkFkgivjwbSvkG,"yes, and?",Ariana Grande,"yes, and?",2024-01-12,88
52eIcoLUM25zbQupAZYoFh,redrum,21 Savage,american dream,2024-01-12,93
2yUzr8Sr6ldG8vmHhZwTnz,née-nah,21 Savage,american dream,2024-01-12,84
2FoahzOSxJnalPA8aBUme3,all of me,21 Savage,american dream,2024-01-12,80
