song,artist,pk,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
How About Now,Drake,How About Now_Drake,0.789,0.404,1.0,-8.364,1.0,0.23,0.205,0.0,0.219,0.472,122.062,audio_features,4n4BflhWjCHIxrI4v7Xt9s,spotify:track:4n4BflhWjCHIxrI4v7Xt9s,https://api.spotify.com/v1/tracks/4n4BflhWjCHIxrI4v7Xt9s,https://api.spotify.com/v1/audio-analysis/4n4BflhWjCHIxrI4v7Xt9s,235566.0,4.0
The Motion,Drake,The Motion_Drake,0.631,0.788,4.0,-7.142,0.0,0.102,0.371,0.000317,0.108,0.544,157.769,audio_features,0Tacxc5lDJ8LwiO1pWNSl8,spotify:track:0Tacxc5lDJ8LwiO1pWNSl8,https://api.spotify.com/v1/tracks/0Tacxc5lDJ8LwiO1pWNSl8,https://api.spotify.com/v1/audio-analysis/0Tacxc5lDJ8LwiO1pWNSl8,240957.0,4.0
Queen Of Mean,Sarah Jeffery,Queen Of Mean_Sarah Jeffery,0.543,0.787,8.0,-6.52,1.0,0.241,0.248,0.0,0.0778,0.343,173.702,audio_features,4o05DiC0RQ9DNtGJGauwna,spotify:track:4o05DiC0RQ9DNtGJGauwna,https://api.spotify.com/v1/tracks/4o05DiC0RQ9DNtGJGauwna,https://api.spotify.com/v1/audio-analysis/4o05DiC0RQ9DNtGJGauwna,189397.0,4.0
Dreams Money Can Buy,Drake,Dreams Money Can Buy_Drake,0.423,0.587,6.0,-6.635,1.0,0.529,0.765,0.0,0.114,0.33,180.331,audio_features,1qyFlfPREPbRcS2BNszdYI,spotify:track:1qyFlfPREPbRcS2BNszdYI,https://api.spotify.com/v1/tracks/1qyFlfPREPbRcS2BNszdYI,https://api.spotify.com/v1/audio-analysis/1qyFlfPREPbRcS2BNszdYI,253803.0,4.0
Right Back,Khalid Featuring A Boogie Wit da Hoodie,Right Back_Khalid Featuring A Boogie Wit da Hoodie,0.786,0.428,5.0,-10.011,0.0,0.31,0.0933,1.1e-06,0.156,0.556,97.001,audio_features,6PYnUsNEpYC7A4BS2sjw3L,spotify:track:6PYnUsNEpYC7A4BS2sjw3L,https://api.spotify.com/v1/tracks/6PYnUsNEpYC7A4BS2sjw3L,https://api.spotify.com/v1/audio-analysis/6PYnUsNEpYC7A4BS2sjw3L,255000.0,4.0
Uno,Ambjaay,Uno_Ambjaay,0.978,0.477,8.0,-8.159,1.0,0.155,0.000143,0.0,0.133,0.196,110.002,audio_features,3AEgic4yp82NxMWUjHtxnO,spotify:track:3AEgic4yp82NxMWUjHtxnO,https://api.spotify.com/v1/tracks/3AEgic4yp82NxMWUjHtxnO,https://api.spotify.com/v1/audio-analysis/3AEgic4yp82NxMWUjHtxnO,109091.0,4.0
Club Paradise,Drake,Club Paradise_Drake,0.338,0.729,6.0,-6.419,0.0,0.102,0.758,3.24e-05,0.18,0.543,184.174,audio_features,6MR5IBSNfDmiwnrlQpVw4w,spotify:track:6MR5IBSNfDmiwnrlQpVw4w,https://api.spotify.com/v1/tracks/6MR5IBSNfDmiwnrlQpVw4w,https://api.spotify.com/v1/audio-analysis/6MR5IBSNfDmiwnrlQpVw4w,283816.0,4.0
We Were,Keith Urban,We Were_Keith Urban,0.578,0.937,2.0,-5.685,1.0,0.0481,0.0294,0.0,0.122,0.479,102.983,audio_features,5Net7uzpcqkJtOwR22onye,spotify:track:5Net7uzpcqkJtOwR22onye,https://api.spotify.com/v1/tracks/5Net7uzpcqkJtOwR22onye,https://api.spotify.com/v1/audio-analysis/5Net7uzpcqkJtOwR22onye,191747.0,4.0
Fear Inoculum,Tool,Fear Inoculum_Tool,0.31,0.584,7.0,-10.091,1.0,0.042,0.000827,0.512,0.0528,0.16,86.913,audio_features,39zWYYZStDgWi32sOU9AX4,spotify:track:39zWYYZStDgWi32sOU9AX4,https://api.spotify.com/v1/tracks/39zWYYZStDgWi32sOU9AX4,https://api.spotify.com/v1/audio-analysis/39zWYYZStDgWi32sOU9AX4,620101.0,4.0
Love You Too Late,Cole Swindell,Love You Too Late_Cole Swindell,0.542,0.797,9.0,-4.45,0.0,0.0379,0.00111,0.0,0.0906,0.593,113.95,audio_features,52MNypbTWiwybwzhXvsPk5,spotify:track:52MNypbTWiwybwzhXvsPk5,https://api.spotify.com/v1/tracks/52MNypbTWiwybwzhXvsPk5,https://api.spotify.com/v1/audio-analysis/52MNypbTWiwybwzhXvsPk5,204720.0,4.0
Days In The East,Drake,Days In The East_Drake,0.733,0.361,1.0,-11.129,1.0,0.135,0.348,0.000285,0.0942,0.0361,94.902,audio_features,4czcw3NVLY0of5hTD7OufN,spotify:track:4czcw3NVLY0of5hTD7OufN,https://api.spotify.com/v1/tracks/4czcw3NVLY0of5hTD7OufN,https://api.spotify.com/v1/audio-analysis/4czcw3NVLY0of5hTD7OufN,353698.0,4.0
What Happens In A Small Town,Brantley Gilbert + Lindsay Ell,What Happens In A Small Town_Brantley Gilbert + Lindsay Ell,0.496,0.775,11.0,-5.304,1.0,0.0411,0.000927,0.0,0.14,0.478,138.165,audio_features,3g9OCNXY2aSbGRQGY17qVE,spotify:track:3g9OCNXY2aSbGRQGY17qVE,https://api.spotify.com/v1/tracks/3g9OCNXY2aSbGRQGY17qVE,https://api.spotify.com/v1/audio-analysis/3g9OCNXY2aSbGRQGY17qVE,202587.0,4.0
Prayed For You,Matt Stell,Prayed For You_Matt Stell,0.6,0.698,9.0,-5.86,1.0,0.0355,0.0724,1.64e-06,0.113,0.57,140.032,audio_features,4j6GMcVcqZf1r0GDqMtYp6,spotify:track:4j6GMcVcqZf1r0GDqMtYp6,https://api.spotify.com/v1/tracks/4j6GMcVcqZf1r0GDqMtYp6,https://api.spotify.com/v1/audio-analysis/4j6GMcVcqZf1r0GDqMtYp6,210373.0,4.0
Gold Roses,Rick Ross Featuring Drake,Gold Roses_Rick Ross Featuring Drake,0.502,0.633,1.0,-5.8,1.0,0.419,0.00991,0.0,0.389,0.552,83.226,audio_features,1rX5L6pyl3rVWb55D8Cprr,spotify:track:1rX5L6pyl3rVWb55D8Cprr,https://api.spotify.com/v1/tracks/1rX5L6pyl3rVWb55D8Cprr,https://api.spotify.com/v1/audio-analysis/1rX5L6pyl3rVWb55D8Cprr,349600.0,4.0
Hot Shower,Chance The Rapper Featuring MadeinTYO & DaBaby,Hot Shower_Chance The Rapper Featuring MadeinTYO & DaBaby,0.899,0.495,9.0,-8.156,1.0,0.389,0.00132,0.0,0.0586,0.59,149.979,audio_features,3Z7i1NGcs84maLOMX0LpL3,spotify:track:3Z7i1NGcs84maLOMX0LpL3,https://api.spotify.com/v1/tracks/3Z7i1NGcs84maLOMX0LpL3,https://api.spotify.com/v1/audio-analysis/3Z7i1NGcs84maLOMX0LpL3,225924.0,4.0
Single Again,Big Sean,Single Again_Big Sean,0.635,0.677,10.0,-5.548,1.0,0.0909,0.161,0.0,0.154,0.253,94.95,audio_features,7IP0lO9tHfNwBWZ9X6TJ84,spotify:track:7IP0lO9tHfNwBWZ9X6TJ84,https://api.spotify.com/v1/tracks/7IP0lO9tHfNwBWZ9X6TJ84,https://api.spotify.com/v1/audio-analysis/7IP0lO9tHfNwBWZ9X6TJ84,213733.0,4.0
Takeaway,The Chainsmokers & ILLENIUM Featuring Lennon Stella,Takeaway_The Chainsmokers & ILLENIUM Featuring Lennon Stella,0.528,0.511,3.0,-8.144,1.0,0.0324,0.126,0.0,0.101,0.351,100.1,audio_features,3g0mEQx3NTanacLseoP0Gw,spotify:track:3g0mEQx3NTanacLseoP0Gw,https://api.spotify.com/v1/tracks/3g0mEQx3NTanacLseoP0Gw,https://api.spotify.com/v1/audio-analysis/3g0mEQx3NTanacLseoP0Gw,209880.0,4.0
Living,Dierks Bentley,Living_Dierks Bentley,0.517,0.813,1.0,-6.325,1.0,0.0558,0.0153,0.0,0.106,0.444,83.005,audio_features,54K7AZoGpQklpygKrxZlKN,spotify:track:54K7AZoGpQklpygKrxZlKN,https://api.spotify.com/v1/tracks/54K7AZoGpQklpygKrxZlKN,https://api.spotify.com/v1/audio-analysis/54K7AZoGpQklpygKrxZlKN,222147.0,4.0
Leave Me Alone,NF,Leave Me Alone_NF,0.722,0.741,1.0,-3.72,1.0,0.19,0.249,0.0,0.151,0.46,162.11,audio_features,3EtyEzMpfKSaoVhPunvbRV,spotify:track:3EtyEzMpfKSaoVhPunvbRV,https://api.spotify.com/v1/tracks/3EtyEzMpfKSaoVhPunvbRV,https://api.spotify.com/v1/audio-analysis/3EtyEzMpfKSaoVhPunvbRV,308652.0,4.0
Daddy,Blueface & Rich The Kid,Daddy_Blueface & Rich The Kid,0.869,0.59,11.0,-8.214,1.0,0.257,0.07,0.0,0.236,0.479,107.934,audio_features,4hanO6Du5J7QEguNHYZHmw,spotify:track:4hanO6Du5J7QEguNHYZHmw,https://api.spotify.com/v1/tracks/4hanO6Du5J7QEguNHYZHmw,https://api.spotify.com/v1/audio-analysis/4hanO6Du5J7QEguNHYZHmw,151147.0,4.0
All Day Long,Chance The Rapper Featuring John Legend,All Day Long_Chance The Rapper Featuring John Legend,0.767,0.884,2.0,-3.674,1.0,0.161,0.028,0.0,0.103,0.717,123.01,audio_features,1g3ErLqysBJ5EIGdYYMWFZ,spotify:track:1g3ErLqysBJ5EIGdYYMWFZ,https://api.spotify.com/v1/tracks/1g3ErLqysBJ5EIGdYYMWFZ,https://api.spotify.com/v1/audio-analysis/1g3ErLqysBJ5EIGdYYMWFZ,208238.0,4.0
Do You Remember,Chance The Rapper Featuring Death Cab For Cutie,Do You Remember_Chance The Rapper Featuring Death Cab For Cutie,0.606,0.655,6.0,-6.328,1.0,0.402,0.139,0.0,0.103,0.696,159.824,audio_features,67xBtV07CC73eFw7z5oCvU,spotify:track:67xBtV07CC73eFw7z5oCvU,https://api.spotify.com/v1/tracks/67xBtV07CC73eFw7z5oCvU,https://api.spotify.com/v1/audio-analysis/67xBtV07CC73eFw7z5oCvU,236686.0,4.0
How Do You Sleep?,Sam Smith,How Do You Sleep?_Sam Smith,0.477,0.682,1.0,-4.931,0.0,0.0925,0.153,0.0,0.0763,0.345,110.567,audio_features,6b2RcmUt1g9N9mQ3CbjX2Y,spotify:track:6b2RcmUt1g9N9mQ3CbjX2Y,https://api.spotify.com/v1/tracks/6b2RcmUt1g9N9mQ3CbjX2Y,https://api.spotify.com/v1/audio-analysis/6b2RcmUt1g9N9mQ3CbjX2Y,202205.0,5.0
Baby,Lil Baby & DaBaby,Baby_Lil Baby & DaBaby,0.97,0.463,10.0,-7.259,1.0,0.366,0.0957,0.0,0.151,0.46,108.003,audio_features,5MPPttjfGap2C6j6eKcO6J,spotify:track:5MPPttjfGap2C6j6eKcO6J,https://api.spotify.com/v1/tracks/5MPPttjfGap2C6j6eKcO6J,https://api.spotify.com/v1/audio-analysis/5MPPttjfGap2C6j6eKcO6J,142417.0,4.0
China,"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin","China_Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin",0.786,0.808,7.0,-3.702,1.0,0.0882,0.0846,0.000289,0.0822,0.609,105.027,audio_features,2ksOAxtIxY8yElEWw8RhgK,spotify:track:2ksOAxtIxY8yElEWw8RhgK,https://api.spotify.com/v1/tracks/2ksOAxtIxY8yElEWw8RhgK,https://api.spotify.com/v1/audio-analysis/2ksOAxtIxY8yElEWw8RhgK,301714.0,4.0
The Archer,Taylor Swift,The Archer_Taylor Swift,0.292,0.574,0.0,-9.375,1.0,0.0401,0.12,0.00569,0.0663,0.166,124.344,audio_features,3pHkh7d0lzM2AldUtz2x37,spotify:track:3pHkh7d0lzM2AldUtz2x37,https://api.spotify.com/v1/tracks/3pHkh7d0lzM2AldUtz2x37,https://api.spotify.com/v1/audio-analysis/3pHkh7d0lzM2AldUtz2x37,211240.0,4.0
Brown Skin Girl,"Beyonce, SAINt JHN & Wizkid Featuring Blue Ivy Carter","Brown Skin Girl_Beyonce, SAINt JHN & Wizkid Featuring Blue Ivy Carter",0.603,0.602,6.0,-7.083,1.0,0.23,0.049,0.0,0.279,0.595,119.703,audio_features,0B3FovCVaGKS5w1FTidEUP,spotify:track:0B3FovCVaGKS5w1FTidEUP,https://api.spotify.com/v1/tracks/0B3FovCVaGKS5w1FTidEUP,https://api.spotify.com/v1/audio-analysis/0B3FovCVaGKS5w1FTidEUP,248472.0,5.0
Hate Me,Ellie Goulding & Juice WRLD,Hate Me_Ellie Goulding & Juice WRLD,0.64,0.789,8.0,-4.891,1.0,0.0644,0.0875,0.0,0.147,0.762,75.018,audio_features,15og0pCEcTFWEXOFKdcJlU,spotify:track:15og0pCEcTFWEXOFKdcJlU,https://api.spotify.com/v1/tracks/15og0pCEcTFWEXOFKdcJlU,https://api.spotify.com/v1/audio-analysis/15og0pCEcTFWEXOFKdcJlU,188067.0,4.0
Mood 4 Eva,"Beyonce, JAY-Z & Childish Gambino Featuring Oumou Sangare","Mood 4 Eva_Beyonce, JAY-Z & Childish Gambino Featuring Oumou Sangare",0.608,0.709,7.0,-6.175,1.0,0.374,0.119,0.0,0.337,0.709,105.742,audio_features,7oqftogUN82Q7VNy2TmTJW,spotify:track:7oqftogUN82Q7VNy2TmTJW,https://api.spotify.com/v1/tracks/7oqftogUN82Q7VNy2TmTJW,https://api.spotify.com/v1/audio-analysis/7oqftogUN82Q7VNy2TmTJW,272069.0,4.0
Ballin',Mustard & Roddy Ricch,Ballin'_Mustard & Roddy Ricch,0.809,0.545,7.0,-6.678,1.0,0.0735,0.392,0.0,0.151,0.244,97.008,audio_features,3QzAOrNlsabgbMwlZt7TAY,spotify:track:3QzAOrNlsabgbMwlZt7TAY,https://api.spotify.com/v1/tracks/3QzAOrNlsabgbMwlZt7TAY,https://api.spotify.com/v1/audio-analysis/3QzAOrNlsabgbMwlZt7TAY,180435.0,4.0
Antisocial,Ed Sheeran & Travis Scott,Antisocial_Ed Sheeran & Travis Scott,0.716,0.823,5.0,-5.313,0.0,0.0495,0.132,0.0,0.361,0.91,151.957,audio_features,1DhRbox3xkceP64k3JeYfW,spotify:track:1DhRbox3xkceP64k3JeYfW,https://api.spotify.com/v1/tracks/1DhRbox3xkceP64k3JeYfW,https://api.spotify.com/v1/audio-analysis/1DhRbox3xkceP64k3JeYfW,161747.0,4.0
South Of The Border,Ed Sheeran Featuring Camila Cabello & Cardi B,South Of The Border_Ed Sheeran Featuring Camila Cabello & Cardi B,0.857,0.621,9.0,-6.376,0.0,0.0825,0.148,0.0,0.0865,0.668,97.989,audio_features,4vUmTMuQqjdnvlZmAH61Qk,spotify:track:4vUmTMuQqjdnvlZmAH61Qk,https://api.spotify.com/v1/tracks/4vUmTMuQqjdnvlZmAH61Qk,https://api.spotify.com/v1/audio-analysis/4vUmTMuQqjdnvlZmAH61Qk,204467.0,4.0
Remember The Name,Ed Sheeran Featuring Eminem & 50 Cent,Remember The Name_Ed Sheeran Featuring Eminem & 50 Cent,0.831,0.921,5.0,-2.383,0.0,0.0582,0.153,0.00224,0.305,0.795,108.002,audio_features,4jnFqNWeJCeCRHc4HCdxfd,spotify:track:4jnFqNWeJCeCRHc4HCdxfd,https://api.spotify.com/v1/tracks/4jnFqNWeJCeCRHc4HCdxfd,https://api.spotify.com/v1/audio-analysis/4jnFqNWeJCeCRHc4HCdxfd,239227.0,4.0
Tip Of My Tongue,Kenny Chesney,Tip Of My Tongue_Kenny Chesney,0.669,0.56,5.0,-5.003,1.0,0.0251,0.0821,0.0,0.0703,0.49,95.0,audio_features,40ufL61vEaDaaOitYhnlQ7,spotify:track:40ufL61vEaDaaOitYhnlQ7,https://api.spotify.com/v1/tracks/40ufL61vEaDaaOitYhnlQ7,https://api.spotify.com/v1/audio-analysis/40ufL61vEaDaaOitYhnlQ7,199413.0,4.0
Baguettes In The Face,"Mustard featuring NAV, Playboi Carti & A Boogie Wit da Hoodie","Baguettes In The Face_Mustard featuring NAV, Playboi Carti & A Boogie Wit da Hoodie",0.883,0.525,2.0,-8.054,0.0,0.0633,0.189,0.0,0.0971,0.312,99.978,audio_features,2zjGJ0dChMR0KxBZS15aqo,spotify:track:2zjGJ0dChMR0KxBZS15aqo,https://api.spotify.com/v1/tracks/2zjGJ0dChMR0KxBZS15aqo,https://api.spotify.com/v1/audio-analysis/2zjGJ0dChMR0KxBZS15aqo,174100.0,4.0
Like A Rodeo,Kane Brown,Like A Rodeo_Kane Brown,0.67,0.661,3.0,-6.798,0.0,0.0466,0.704,0.0,0.217,0.425,119.985,audio_features,7z3dPHwGxeK4fD6fYFDwiS,spotify:track:7z3dPHwGxeK4fD6fYFDwiS,https://api.spotify.com/v1/tracks/7z3dPHwGxeK4fD6fYFDwiS,https://api.spotify.com/v1/audio-analysis/7z3dPHwGxeK4fD6fYFDwiS,201730.0,4.0
Time,NF,Time_NF,0.677,0.688,0.0,-4.058,0.0,0.0633,0.138,0.0,0.114,0.198,98.049,audio_features,6MxMqCgqmekcr0VwSU7AVH,spotify:track:6MxMqCgqmekcr0VwSU7AVH,https://api.spotify.com/v1/tracks/6MxMqCgqmekcr0VwSU7AVH,https://api.spotify.com/v1/audio-analysis/6MxMqCgqmekcr0VwSU7AVH,240429.0,4.0
Southbound,Carrie Underwood,Southbound_Carrie Underwood,0.614,0.884,0.0,-4.019,1.0,0.0402,0.00122,0.0,0.077,0.721,100.531,audio_features,7qXPZxXn6Xmv1sjh03skiW,spotify:track:7qXPZxXn6Xmv1sjh03skiW,https://api.spotify.com/v1/tracks/7qXPZxXn6Xmv1sjh03skiW,https://api.spotify.com/v1/audio-analysis/7qXPZxXn6Xmv1sjh03skiW,202853.0,4.0
Spirit,Beyonce,Spirit_Beyonce,0.443,0.406,5.0,-9.064,1.0,0.0391,0.00903,0.0,0.0979,0.0558,80.896,audio_features,38SueFAjT6jtFneyoQamYi,spotify:track:38SueFAjT6jtFneyoQamYi,https://api.spotify.com/v1/tracks/38SueFAjT6jtFneyoQamYi,https://api.spotify.com/v1/audio-analysis/38SueFAjT6jtFneyoQamYi,273120.0,4.0
Best Part Of Me,Ed Sheeran Featuring YEBBA,Best Part Of Me_Ed Sheeran Featuring YEBBA,0.524,0.364,7.0,-10.209,1.0,0.0367,0.808,0.0,0.1,0.436,75.24,audio_features,1RMJOxR6GRPsBHL8qeC2ux,spotify:track:1RMJOxR6GRPsBHL8qeC2ux,https://api.spotify.com/v1/tracks/1RMJOxR6GRPsBHL8qeC2ux,https://api.spotify.com/v1/audio-analysis/1RMJOxR6GRPsBHL8qeC2ux,209831.0,4.0
Goodbyes,Post Malone Featuring Young Thug,Goodbyes_Post Malone Featuring Young Thug,0.548,0.653,5.0,-3.875,1.0,0.081,0.456,0.0,0.103,0.163,150.068,audio_features,0t3ZvGKlmYmVsDzBJAXK8C,spotify:track:0t3ZvGKlmYmVsDzBJAXK8C,https://api.spotify.com/v1/tracks/0t3ZvGKlmYmVsDzBJAXK8C,https://api.spotify.com/v1/audio-analysis/0t3ZvGKlmYmVsDzBJAXK8C,174853.0,4.0
Under The Sun,"Dreamville Featuring J. Cole, Lute & DaBaby","Under The Sun_Dreamville Featuring J. Cole, Lute & DaBaby",0.691,0.64,0.0,-6.441,1.0,0.369,0.511,0.0,0.409,0.163,138.672,audio_features,6MF4tRr5lU8qok8IKaFOBE,spotify:track:6MF4tRr5lU8qok8IKaFOBE,https://api.spotify.com/v1/tracks/6MF4tRr5lU8qok8IKaFOBE,https://api.spotify.com/v1/audio-analysis/6MF4tRr5lU8qok8IKaFOBE,202040.0,4.0
BLOW,Ed Sheeran With Chris Stapleton & Bruno Mars,BLOW_Ed Sheeran With Chris Stapleton & Bruno Mars,0.631,0.796,1.0,-5.35,1.0,0.0401,0.000245,0.0115,0.38,0.596,92.469,audio_features,6EbduYTr62sSzvl36wWiFM,spotify:track:6EbduYTr62sSzvl36wWiFM,https://api.spotify.com/v1/tracks/6EbduYTr62sSzvl36wWiFM,https://api.spotify.com/v1/audio-analysis/6EbduYTr62sSzvl36wWiFM,209120.0,4.0
Costa Rica,"Dreamville Featuring Bas, JID, Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God","Costa Rica_Dreamville Featuring Bas, JID, Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God",0.832,0.648,7.0,-6.383,0.0,0.37,0.532,0.0,0.0705,0.624,120.933,audio_features,6stSUCyAY8mfBX00Nc5UuI,spotify:track:6stSUCyAY8mfBX00Nc5UuI,https://api.spotify.com/v1/tracks/6stSUCyAY8mfBX00Nc5UuI,https://api.spotify.com/v1/audio-analysis/6stSUCyAY8mfBX00Nc5UuI,217867.0,4.0
No Me Conoce,"Jhay Cortez, J Balvin & Bad Bunny","No Me Conoce_Jhay Cortez, J Balvin & Bad Bunny",0.804,0.787,10.0,-3.824,0.0,0.0746,0.14,0.0,0.0927,0.562,91.974,audio_features,2beS6dD5rovBxSA1zYoSHR,spotify:track:2beS6dD5rovBxSA1zYoSHR,https://api.spotify.com/v1/tracks/2beS6dD5rovBxSA1zYoSHR,https://api.spotify.com/v1/audio-analysis/2beS6dD5rovBxSA1zYoSHR,309120.0,4.0
I Don't Know About You,Chris Lane,I Don't Know About You_Chris Lane,0.593,0.81,1.0,-5.733,1.0,0.0625,0.602,0.0,0.119,0.712,144.011,audio_features,3yOs8FffuG6hPbzQG9lIqV,spotify:track:3yOs8FffuG6hPbzQG9lIqV,https://api.spotify.com/v1/tracks/3yOs8FffuG6hPbzQG9lIqV,https://api.spotify.com/v1/audio-analysis/3yOs8FffuG6hPbzQG9lIqV,207933.0,4.0
Beautiful People,Ed Sheeran Featuring Khalid,Beautiful People_Ed Sheeran Featuring Khalid,0.64,0.647,5.0,-8.114,0.0,0.186,0.124,0.0,0.0801,0.546,92.979,audio_features,70eFcWOvlMObDhURTqT4Fv,spotify:track:70eFcWOvlMObDhURTqT4Fv,https://api.spotify.com/v1/tracks/70eFcWOvlMObDhURTqT4Fv,https://api.spotify.com/v1/audio-analysis/70eFcWOvlMObDhURTqT4Fv,197867.0,4.0
Higher Love,Kygo X Whitney Houston,Higher Love_Kygo X Whitney Houston,0.739,0.542,8.0,-8.218,1.0,0.0329,0.223,3.47e-06,0.0857,0.512,103.943,audio_features,0RvNUU2VR488WnqD5CleQc,spotify:track:0RvNUU2VR488WnqD5CleQc,https://api.spotify.com/v1/tracks/0RvNUU2VR488WnqD5CleQc,https://api.spotify.com/v1/audio-analysis/0RvNUU2VR488WnqD5CleQc,231942.0,4.0
Que Pretendes,J Balvin & Bad Bunny,Que Pretendes_J Balvin & Bad Bunny,0.639,0.791,10.0,-4.443,0.0,0.253,0.0275,0.0,0.362,0.939,92.603,audio_features,25ZAibhr3bdlMCLmubZDVt,spotify:track:25ZAibhr3bdlMCLmubZDVt,https://api.spotify.com/v1/tracks/25ZAibhr3bdlMCLmubZDVt,https://api.spotify.com/v1/audio-analysis/25ZAibhr3bdlMCLmubZDVt,222347.0,4.0
Don't Check On Me,Chris Brown Featuring Justin Bieber & Ink,Don't Check On Me_Chris Brown Featuring Justin Bieber & Ink,0.661,0.395,7.0,-5.242,1.0,0.0333,0.873,0.0,0.112,0.679,82.028,audio_features,7ILEWkpfdK6AjH2D7jppWk,spotify:track:7ILEWkpfdK6AjH2D7jppWk,https://api.spotify.com/v1/tracks/7ILEWkpfdK6AjH2D7jppWk,https://api.spotify.com/v1/audio-analysis/7ILEWkpfdK6AjH2D7jppWk,204880.0,4.0
When I Grow Up,NF,When I Grow Up_NF,0.817,0.814,2.0,-3.985,1.0,0.185,0.32,0.0,0.152,0.247,109.994,audio_features,5rLyYxZNzca00ENADO9m54,spotify:track:5rLyYxZNzca00ENADO9m54,https://api.spotify.com/v1/tracks/5rLyYxZNzca00ENADO9m54,https://api.spotify.com/v1/audio-analysis/5rLyYxZNzca00ENADO9m54,196800.0,4.0
My Type,Saweetie,My Type_Saweetie,0.899,0.811,2.0,-6.294,1.0,0.258,0.000677,0.0,0.0672,0.587,105.038,audio_features,5KBARWIxeMGkvUax9VtVC9,spotify:track:5KBARWIxeMGkvUax9VtVC9,https://api.spotify.com/v1/tracks/5KBARWIxeMGkvUax9VtVC9,https://api.spotify.com/v1/audio-analysis/5KBARWIxeMGkvUax9VtVC9,126446.0,4.0
Lalala,Y2K & bbno$,Lalala_Y2K & bbno$,0.843,0.39,2.0,-7.899,1.0,0.0846,0.178,0.0,0.137,0.495,129.972,audio_features,51Fjme0JiitpyXKuyQiCDo,spotify:track:51Fjme0JiitpyXKuyQiCDo,https://api.spotify.com/v1/tracks/51Fjme0JiitpyXKuyQiCDo,https://api.spotify.com/v1/audio-analysis/51Fjme0JiitpyXKuyQiCDo,160627.0,4.0
Senorita,Shawn Mendes & Camila Cabello,Senorita_Shawn Mendes & Camila Cabello,0.759,0.548,9.0,-6.049,0.0,0.029,0.0392,0.0,0.0828,0.749,116.967,audio_features,6v3KW9xbzN5yKLt9YKDYA2,spotify:track:6v3KW9xbzN5yKLt9YKDYA2,https://api.spotify.com/v1/tracks/6v3KW9xbzN5yKLt9YKDYA2,https://api.spotify.com/v1/audio-analysis/6v3KW9xbzN5yKLt9YKDYA2,190800.0,4.0
Panini,Lil Nas X,Panini_Lil Nas X,0.703,0.594,5.0,-6.146,0.0,0.0752,0.342,0.0,0.123,0.475,153.848,audio_features,1000nHvUdawXuUHgBod4Wv,spotify:track:1000nHvUdawXuUHgBod4Wv,https://api.spotify.com/v1/tracks/1000nHvUdawXuUHgBod4Wv,https://api.spotify.com/v1/audio-analysis/1000nHvUdawXuUHgBod4Wv,114893.0,4.0
MEGATRON,Nicki Minaj,MEGATRON_Nicki Minaj,0.893,0.641,1.0,-3.051,1.0,0.272,0.128,8.06e-05,0.086,0.771,94.017,audio_features,1ZDmxwg7Lywlx68b7SsJjj,spotify:track:1ZDmxwg7Lywlx68b7SsJjj,https://api.spotify.com/v1/tracks/1ZDmxwg7Lywlx68b7SsJjj,https://api.spotify.com/v1/audio-analysis/1ZDmxwg7Lywlx68b7SsJjj,190747.0,4.0
Rodeo,Lil Nas X & Cardi B Or Nas,Rodeo_Lil Nas X & Cardi B Or Nas,0.706,0.679,9.0,-5.614,1.0,0.0324,0.139,6.98e-05,0.465,0.657,140.081,audio_features,4ak7xjvBeBOcJGWFDX9w5n,spotify:track:4ak7xjvBeBOcJGWFDX9w5n,https://api.spotify.com/v1/tracks/4ak7xjvBeBOcJGWFDX9w5n,https://api.spotify.com/v1/audio-analysis/4ak7xjvBeBOcJGWFDX9w5n,158707.0,4.0
One Thing Right,Marshmello & Kane Brown,One Thing Right_Marshmello & Kane Brown,0.659,0.625,4.0,-2.253,1.0,0.045,0.0644,0.0,0.582,0.442,88.042,audio_features,4hPpVbbakQNv8YTHYaOJP4,spotify:track:4hPpVbbakQNv8YTHYaOJP4,https://api.spotify.com/v1/tracks/4hPpVbbakQNv8YTHYaOJP4,https://api.spotify.com/v1/audio-analysis/4hPpVbbakQNv8YTHYaOJP4,181824.0,4.0
Out The Mud,Lil Baby Featuring Future,Out The Mud_Lil Baby Featuring Future,0.746,0.497,1.0,-5.785,1.0,0.149,0.00944,8.6e-05,0.101,0.25,160.051,audio_features,2wZjsbwmWfNVslgV5afl1L,spotify:track:2wZjsbwmWfNVslgV5afl1L,https://api.spotify.com/v1/tracks/2wZjsbwmWfNVslgV5afl1L,https://api.spotify.com/v1/audio-analysis/2wZjsbwmWfNVslgV5afl1L,157816.0,4.0
