song,artist,pk,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Fingers Crossed,Lauren Spencer Smith,Fingers Crossed_Lauren Spencer Smith,0.607,0.47,5.0,-7.167,1.0,0.0559,0.589,0.0,0.31,0.445,109.696,audio_features,4wH7ZoqgETaACS9BlUkvuY,spotify:track:4wH7ZoqgETaACS9BlUkvuY,https://api.spotify.com/v1/tracks/4wH7ZoqgETaACS9BlUkvuY,https://api.spotify.com/v1/audio-analysis/4wH7ZoqgETaACS9BlUkvuY,175345.0,4.0
Waiting On A Miracle,Stephanie Beatriz,Waiting On A Miracle_Stephanie Beatriz,0.48,0.554,1.0,-8.145,0.0,0.069,0.171,0.0,0.131,0.267,190.066,audio_features,3oRW9ZGPRbLRMneQ5lwflt,spotify:track:3oRW9ZGPRbLRMneQ5lwflt,https://api.spotify.com/v1/tracks/3oRW9ZGPRbLRMneQ5lwflt,https://api.spotify.com/v1/audio-analysis/3oRW9ZGPRbLRMneQ5lwflt,161840.0,3.0
Dos Oruguitas,Sebastian Yatra,Dos Oruguitas_Sebastian Yatra,0.423,0.355,0.0,-10.565,1.0,0.0454,0.761,0.0,0.0915,0.465,93.788,audio_features,5rohUzwEoRsUvAA1Bf3DLo,spotify:track:5rohUzwEoRsUvAA1Bf3DLo,https://api.spotify.com/v1/tracks/5rohUzwEoRsUvAA1Bf3DLo,https://api.spotify.com/v1/audio-analysis/5rohUzwEoRsUvAA1Bf3DLo,214613.0,4.0
AA,Walker Hayes,AA_Walker Hayes,0.635,0.747,4.0,-6.227,1.0,0.0293,0.00313,0.0,0.346,0.753,104.027,audio_features,77oKig47u34qCCFWKMfu1e,spotify:track:77oKig47u34qCCFWKMfu1e,https://api.spotify.com/v1/tracks/77oKig47u34qCCFWKMfu1e,https://api.spotify.com/v1/audio-analysis/77oKig47u34qCCFWKMfu1e,189560.0,4.0
Home Sweet,Russell Dickerson,Home Sweet_Russell Dickerson,0.58,0.813,11.0,-5.621,1.0,0.0414,0.0386,1.44e-06,0.0926,0.473,120.973,audio_features,7xMFk2Vj2hALyMdzHFopJl,spotify:track:7xMFk2Vj2hALyMdzHFopJl,https://api.spotify.com/v1/tracks/7xMFk2Vj2hALyMdzHFopJl,https://api.spotify.com/v1/audio-analysis/7xMFk2Vj2hALyMdzHFopJl,205947.0,4.0
Come Back As A Country Boy,Blake Shelton,Come Back As A Country Boy_Blake Shelton,0.487,0.796,7.0,-3.9,0.0,0.0339,0.0197,0.000192,0.327,0.44,76.037,audio_features,5EDtmgwR1lDmDGLZraNpJg,spotify:track:5EDtmgwR1lDmDGLZraNpJg,https://api.spotify.com/v1/tracks/5EDtmgwR1lDmDGLZraNpJg,https://api.spotify.com/v1/audio-analysis/5EDtmgwR1lDmDGLZraNpJg,221693.0,4.0
Black Ball,YoungBoy Never Broke Again & Birdman,Black Ball_YoungBoy Never Broke Again & Birdman,0.773,0.608,1.0,-6.117,0.0,0.223,0.616,0.0,0.0966,0.475,79.002,audio_features,1tmsPlyvzDETLv08Wp5cuY,spotify:track:1tmsPlyvzDETLv08Wp5cuY,https://api.spotify.com/v1/tracks/1tmsPlyvzDETLv08Wp5cuY,https://api.spotify.com/v1/audio-analysis/1tmsPlyvzDETLv08Wp5cuY,189852.0,4.0
I Love You So,The Walters,I Love You So_The Walters,0.575,0.648,10.0,-4.891,1.0,0.0358,0.583,0.0,0.115,0.466,75.977,audio_features,4SqWKzw0CbA05TGszDgMlc,spotify:track:4SqWKzw0CbA05TGszDgMlc,https://api.spotify.com/v1/tracks/4SqWKzw0CbA05TGszDgMlc,https://api.spotify.com/v1/audio-analysis/4SqWKzw0CbA05TGszDgMlc,160240.0,4.0
Never Wanted To Be That Girl,Carly Pearce & Ashley McBryde,Never Wanted To Be That Girl_Carly Pearce & Ashley McBryde,0.553,0.609,1.0,-6.436,1.0,0.0469,0.151,0.0,0.112,0.471,73.903,audio_features,7yRJMLG9ja0fBVVEmV6vcT,spotify:track:7yRJMLG9ja0fBVVEmV6vcT,https://api.spotify.com/v1/tracks/7yRJMLG9ja0fBVVEmV6vcT,https://api.spotify.com/v1/audio-analysis/7yRJMLG9ja0fBVVEmV6vcT,214416.0,4.0
We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast","We Don't Talk About Bruno_Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",0.577,0.45,0.0,-8.516,0.0,0.0834,0.357,0.0,0.111,0.83,205.863,audio_features,52xJxFP6TqMuO4Yt0eOkMz,spotify:track:52xJxFP6TqMuO4Yt0eOkMz,https://api.spotify.com/v1/tracks/52xJxFP6TqMuO4Yt0eOkMz,https://api.spotify.com/v1/audio-analysis/52xJxFP6TqMuO4Yt0eOkMz,216120.0,4.0
