date,rank,song,artist,pk
2021-10-02,17,Shivers,Ed Sheeran,Shivers_Ed Sheeran
2021-10-02,18,Need To Know,Doja Cat,Need To Know_Doja Cat
2021-10-02,19,You Right,Doja Cat & The Weeknd,You Right_Doja Cat & The Weeknd
2021-10-02,20,Beggin',Maneskin,Beggin'_Maneskin
2021-10-02,21,Take My Breath,The Weeknd,Take My Breath_The Weeknd
2021-10-02,22,If I Didn't Love You,Jason Aldean & Carrie Underwood,If I Didn't Love You_Jason Aldean & Carrie Underwood
2021-10-02,23,Deja Vu,Olivia Rodrigo,Deja Vu_Olivia Rodrigo
2021-10-02,24,Butter,BTS,Butter_BTS
2021-10-02,25,Traitor,Olivia Rodrigo,Traitor_Olivia Rodrigo
2021-10-02,26,Leave Before You Love Me,Marshmello X Jonas Brothers,Leave Before You Love Me_Marshmello X Jonas Brothers
2021-10-02,27,Pepas,Farruko,Pepas_Farruko
2021-10-02,28,Happier Than Ever,Billie Eilish,Happier Than Ever_Billie Eilish
2021-10-02,29,Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs,Cold Beer Calling My Name_Jameson Rodgers Featuring Luke Combs
2021-10-02,30,Champagne Poetry,Drake,Champagne Poetry_Drake
2021-10-02,31,Hurricane,Kanye West,Hurricane_Kanye West
2021-10-02,32,Chasing After You,Ryan Hurd With Maren Morris,Chasing After You_Ryan Hurd With Maren Morris
2021-10-02,33,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),Leave The Door Open_Silk Sonic (Bruno Mars & Anderson .Paak)
2021-10-02,34,Things A Man Oughta Know,Lainey Wilson,Things A Man Oughta Know_Lainey Wilson
2021-10-02,35,Wockesha,Moneybagg Yo,Wockesha_Moneybagg Yo
2021-10-02,36,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,Peaches_Justin Bieber Featuring Daniel Caesar & Giveon
2021-10-02,37,Wildest Dreams (Taylor's Version),Taylor Swift,Wildest Dreams (Taylor's Version)_Taylor Swift
2021-10-02,38,Family Ties,Baby Keem & Kendrick Lamar,Family Ties_Baby Keem & Kendrick Lamar
2021-10-02,39,A-O-K,Tai Verdes,A-O-K_Tai Verdes
2021-10-02,40,No Friends In The Industry,Drake,No Friends In The Industry_Drake
2021-10-02,41,Arcade,Duncan Laurence,Arcade_Duncan Laurence
2021-10-02,42,Scoop,Lil Nas X Featuring Doja Cat,Scoop_Lil Nas X Featuring Doja Cat
2021-10-02,43,In The Bible,Drake Featuring Lil Durk & Giveon,In The Bible_Drake Featuring Lil Durk & Giveon
2021-10-02,44,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,Meet Me At Our Spot_THE ANXIETY: WILLOW & Tyler Cole
2021-10-02,45,Late At Night,Roddy Ricch,Late At Night_Roddy Ricch
2021-10-02,46,Rumors,Lizzo Featuring Cardi B,Rumors_Lizzo Featuring Cardi B
2021-10-02,47,Dolla Sign Slime,Lil Nas X Featuring Megan Thee Stallion,Dolla Sign Slime_Lil Nas X Featuring Megan Thee Stallion
2021-10-02,48,TSU,Drake,TSU_Drake
2021-10-02,49,Thot Shit,Megan Thee Stallion,Thot Shit_Megan Thee Stallion
2021-10-02,50,You Time,Scotty McCreery,You Time_Scotty McCreery
2021-10-02,51,Love Again,Dua Lipa,Love Again_Dua Lipa
2021-10-02,52,Wild Side,Normani Featuring Cardi B,Wild Side_Normani Featuring Cardi B
2021-10-02,53,I Was On A Boat That Day,Old Dominion,I Was On A Boat That Day_Old Dominion
2021-10-02,54,Memory I Don't Mess With,Lee Brice,Memory I Don't Mess With_Lee Brice
2021-10-02,55,Buy Dirt,Jordan Davis Featuring Luke Bryan,Buy Dirt_Jordan Davis Featuring Luke Bryan
2021-10-02,56,Have Mercy,Chloe,Have Mercy_Chloe
2021-10-02,57,Love All,Drake Featuring JAY-Z,Love All_Drake Featuring JAY-Z
2021-10-02,58,Whole Lotta Money,BIA Featuring Nicki Minaj,Whole Lotta Money_BIA Featuring Nicki Minaj
2021-10-02,59,N 2 Deep,Drake Featuring Future,N 2 Deep_Drake Featuring Future
2021-10-02,60,Waves,Luke Bryan,Waves_Luke Bryan
2021-10-02,61,Sharing Locations,Meek Mill Featuring Lil Baby & Lil Durk,Sharing Locations_Meek Mill Featuring Lil Baby & Lil Durk
2021-10-02,62,Woman,Doja Cat,Woman_Doja Cat
2021-10-02,63,Lonely,DaBaby X Lil Wayne,Lonely_DaBaby X Lil Wayne
2021-10-02,64,Gyalis,Capella Grey,Gyalis_Capella Grey
2021-10-02,65,2055,Sleepy Hallow,2055_Sleepy Hallow
2021-10-02,66,Papi's Home,Drake,Papi's Home_Drake
2021-10-02,67,My Boy,Elvie Shane,My Boy_Elvie Shane
2021-10-02,68,Pipe Down,Drake,Pipe Down_Drake
2021-10-02,69,Cold As You,Luke Combs,Cold As You_Luke Combs
2021-10-02,70,Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert,Drunk (And I Don't Wanna Go Home)_Elle King & Miranda Lambert
2021-10-02,71,On My Side,YoungBoy Never Broke Again,On My Side_YoungBoy Never Broke Again
2021-10-02,72,Dead Right Now,Lil Nas X,Dead Right Now_Lil Nas X
2021-10-02,73,Memory,Kane Brown X blackbear,Memory_Kane Brown X blackbear
2021-10-02,74,Cold Heart (PNAU Remix),Elton John & Dua Lipa,Cold Heart (PNAU Remix)_Elton John & Dua Lipa
2021-10-02,75,Volvi,Aventura x Bad Bunny,Volvi_Aventura x Bad Bunny
2021-10-02,76,Moon,Kanye West,Moon_Kanye West
2021-10-02,77,Drinkin' Beer. Talkin' God. Amen.,Chase Rice Featuring Florida Georgia Line,Drinkin' Beer. Talkin' God. Amen._Chase Rice Featuring Florida Georgia Line
2021-10-02,78,Baddest,"Yung Bleu, Chris Brown & 2 Chainz","Baddest_Yung Bleu, Chris Brown & 2 Chainz"
2021-10-02,79,Life Support,YoungBoy Never Broke Again,Life Support_YoungBoy Never Broke Again
2021-10-02,80,Love Nwantiti (Ah Ah Ah),CKay,Love Nwantiti (Ah Ah Ah)_CKay
2021-10-02,81,Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,Thinking 'Bout You_Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter
2021-10-02,82,Todo de Ti,Rauw Alejandro,Todo de Ti_Rauw Alejandro
2021-10-02,83,You Should Probably Leave,Chris Stapleton,You Should Probably Leave_Chris Stapleton
2021-10-02,84,Get Into It (Yuh),Doja Cat,Get Into It (Yuh)_Doja Cat
2021-10-02,85,Yonaguni,Bad Bunny,Yonaguni_Bad Bunny
2021-10-02,86,Tales Of Dominica,Lil Nas X,Tales Of Dominica_Lil Nas X
2021-10-02,87,Summer Of Love,Shawn Mendes & Tainy,Summer Of Love_Shawn Mendes & Tainy
2021-10-02,88,One Of Me,Lil Nas X Featuring Elton John,One Of Me_Lil Nas X Featuring Elton John
2021-10-02,89,Race My Mind,Drake,Race My Mind_Drake
2021-10-02,90,Lost In The Citadel,Lil Nas X,Lost In The Citadel_Lil Nas X
2021-10-02,91,Sun Goes Down,Lil Nas X,Sun Goes Down_Lil Nas X
2021-10-02,92,7am On Bridle Path,Drake,7am On Bridle Path_Drake
2021-10-02,93,Off The Grid,Kanye West,Off The Grid_Kanye West
2021-10-02,94,In Da Getto,J Balvin & Skrillex,In Da Getto_J Balvin & Skrillex
2021-10-02,95,Skate,Silk Sonic (Bruno Mars & Anderson .Paak),Skate_Silk Sonic (Bruno Mars & Anderson .Paak)
2021-10-02,96,Knowing You,Kenny Chesney,Knowing You_Kenny Chesney
2021-10-02,97,Am I Dreaming,Lil Nas X Featuring Miley Cyrus,Am I Dreaming_Lil Nas X Featuring Miley Cyrus
2021-10-02,98,Same Boat,Zac Brown Band,Same Boat_Zac Brown Band
2021-10-02,99,Come Through,H.E.R. Featuring Chris Brown,Come Through_H.E.R. Featuring Chris Brown
2021-10-02,100,Don't Go Yet,Camila Cabello,Don't Go Yet_Camila Cabello
2021-09-25,1,Stay,The Kid LAROI & Justin Bieber,Stay_The Kid LAROI & Justin Bieber
2021-09-25,2,Way 2 Sexy,Drake Featuring Future & Young Thug,Way 2 Sexy_Drake Featuring Future & Young Thug
2021-09-25,3,Bad Habits,Ed Sheeran,Bad Habits_Ed Sheeran
2021-09-25,4,Knife Talk,Drake Featuring 21 Savage & Project Pat,Knife Talk_Drake Featuring 21 Savage & Project Pat
2021-09-25,5,Fancy Like,Walker Hayes,Fancy Like_Walker Hayes
2021-09-25,6,Industry Baby,Lil Nas X & Jack Harlow,Industry Baby_Lil Nas X & Jack Harlow
2021-09-25,7,Good 4 U,Olivia Rodrigo,Good 4 U_Olivia Rodrigo
2021-09-25,8,Kiss Me More,Doja Cat Featuring SZA,Kiss Me More_Doja Cat Featuring SZA
2021-09-25,9,Levitating,Dua Lipa,Levitating_Dua Lipa
2021-09-25,10,Girls Want Girls,Drake Featuring Lil Baby,Girls Want Girls_Drake Featuring Lil Baby
2021-09-25,11,Fair Trade,Drake Featuring Travis Scott,Fair Trade_Drake Featuring Travis Scott
2021-09-25,12,Save Your Tears,The Weeknd & Ariana Grande,Save Your Tears_The Weeknd & Ariana Grande
2021-09-25,13,Montero (Call Me By Your Name),Lil Nas X,Montero (Call Me By Your Name)_Lil Nas X
2021-09-25,14,Butter,BTS,Butter_BTS
2021-09-25,15,Heat Waves,Glass Animals,Heat Waves_Glass Animals
2021-09-25,16,Shivers,Ed Sheeran,Shivers_Ed Sheeran
2021-09-25,17,Essence,Wizkid Featuring Justin Bieber & Tems,Essence_Wizkid Featuring Justin Bieber & Tems
2021-09-25,18,You Right,Doja Cat & The Weeknd,You Right_Doja Cat & The Weeknd
2021-09-25,19,Champagne Poetry,Drake,Champagne Poetry_Drake
2021-09-25,20,Deja Vu,Olivia Rodrigo,Deja Vu_Olivia Rodrigo
2021-09-25,21,Need To Know,Doja Cat,Need To Know_Doja Cat
2021-09-25,22,No Friends In The Industry,Drake,No Friends In The Industry_Drake
2021-09-25,23,Take My Breath,The Weeknd,Take My Breath_The Weeknd
2021-09-25,24,If I Didn't Love You,Jason Aldean & Carrie Underwood,If I Didn't Love You_Jason Aldean & Carrie Underwood
2021-09-25,25,Family Ties,Baby Keem & Kendrick Lamar,Family Ties_Baby Keem & Kendrick Lamar
2021-09-25,26,Hurricane,Kanye West,Hurricane_Kanye West
2021-09-25,27,TSU,Drake,TSU_Drake
2021-09-25,28,Have Mercy,Chloe,Have Mercy_Chloe
2021-09-25,29,In The Bible,Drake Featuring Lil Durk & Giveon,In The Bible_Drake Featuring Lil Durk & Giveon
2021-09-25,30,Beggin',Maneskin,Beggin'_Maneskin
2021-09-25,31,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),Leave The Door Open_Silk Sonic (Bruno Mars & Anderson .Paak)
2021-09-25,32,Leave Before You Love Me,Marshmello X Jonas Brothers,Leave Before You Love Me_Marshmello X Jonas Brothers
2021-09-25,33,N 2 Deep,Drake Featuring Future,N 2 Deep_Drake Featuring Future
2021-09-25,34,Pepas,Farruko,Pepas_Farruko
2021-09-25,35,Love All,Drake Featuring JAY-Z,Love All_Drake Featuring JAY-Z
2021-09-25,36,Happier Than Ever,Billie Eilish,Happier Than Ever_Billie Eilish
2021-09-25,37,Traitor,Olivia Rodrigo,Traitor_Olivia Rodrigo
2021-09-25,38,Things A Man Oughta Know,Lainey Wilson,Things A Man Oughta Know_Lainey Wilson
2021-09-25,39,Chasing After You,Ryan Hurd With Maren Morris,Chasing After You_Ryan Hurd With Maren Morris
2021-09-25,40,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,Peaches_Justin Bieber Featuring Daniel Caesar & Giveon
2021-09-25,41,Papi's Home,Drake,Papi's Home_Drake
2021-09-25,42,Arcade,Duncan Laurence,Arcade_Duncan Laurence
2021-09-25,43,Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs,Cold Beer Calling My Name_Jameson Rodgers Featuring Luke Combs
2021-09-25,44,Rumors,Lizzo Featuring Cardi B,Rumors_Lizzo Featuring Cardi B
2021-09-25,45,Pipe Down,Drake,Pipe Down_Drake
2021-09-25,46,A-O-K,Tai Verdes,A-O-K_Tai Verdes
2021-09-25,47,Country Again,Thomas Rhett,Country Again_Thomas Rhett
2021-09-25,48,Thot Shit,Megan Thee Stallion,Thot Shit_Megan Thee Stallion
2021-09-25,49,Late At Night,Roddy Ricch,Late At Night_Roddy Ricch
2021-09-25,50,Wockesha,Moneybagg Yo,Wockesha_Moneybagg Yo
2021-09-25,51,Buy Dirt,Jordan Davis Featuring Luke Bryan,Buy Dirt_Jordan Davis Featuring Luke Bryan
2021-09-25,52,Waves,Luke Bryan,Waves_Luke Bryan
2021-09-25,53,Range Brothers,Baby Keem & Kendrick Lamar,Range Brothers_Baby Keem & Kendrick Lamar
2021-09-25,54,Race My Mind,Drake,Race My Mind_Drake
2021-09-25,55,Love Again,Dua Lipa,Love Again_Dua Lipa
2021-09-25,56,I Was On A Boat That Day,Old Dominion,I Was On A Boat That Day_Old Dominion
2021-09-25,57,7am On Bridle Path,Drake,7am On Bridle Path_Drake
2021-09-25,58,Moon,Kanye West,Moon_Kanye West
2021-09-25,59,Wild Side,Normani Featuring Cardi B,Wild Side_Normani Featuring Cardi B
2021-09-25,60,Every Chance I Get,DJ Khaled Featuring Lil Baby & Lil Durk,Every Chance I Get_DJ Khaled Featuring Lil Baby & Lil Durk
2021-09-25,61,Whole Lotta Money,BIA Featuring Nicki Minaj,Whole Lotta Money_BIA Featuring Nicki Minaj
2021-09-25,62,Memory I Don't Mess With,Lee Brice,Memory I Don't Mess With_Lee Brice
2021-09-25,63,Life Support,YoungBoy Never Broke Again,Life Support_YoungBoy Never Broke Again
2021-09-25,64,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,Meet Me At Our Spot_THE ANXIETY: WILLOW & Tyler Cole
2021-09-25,65,Sharing Locations,Meek Mill Featuring Lil Baby & Lil Durk,Sharing Locations_Meek Mill Featuring Lil Baby & Lil Durk
2021-09-25,66,2055,Sleepy Hallow,2055_Sleepy Hallow
2021-09-25,67,Woman,Doja Cat,Woman_Doja Cat
2021-09-25,68,Lonely,DaBaby X Lil Wayne,Lonely_DaBaby X Lil Wayne
2021-09-25,69,You Time,Scotty McCreery,You Time_Scotty McCreery
2021-09-25,70,Gyalis,Capella Grey,Gyalis_Capella Grey
2021-09-25,71,Skate,Silk Sonic (Bruno Mars & Anderson .Paak),Skate_Silk Sonic (Bruno Mars & Anderson .Paak)
2021-09-25,72,IMY2,Drake Featuring Kid Cudi,IMY2_Drake Featuring Kid Cudi
2021-09-25,73,Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert,Drunk (And I Don't Wanna Go Home)_Elle King & Miranda Lambert
2021-09-25,74,My Boy,Elvie Shane,My Boy_Elvie Shane
2021-09-25,75,Off The Grid,Kanye West,Off The Grid_Kanye West
2021-09-25,76,Yebba's Heartbreak,Drake & Yebba,Yebba's Heartbreak_Drake & Yebba
2021-09-25,77,Drinkin' Beer. Talkin' God. Amen.,Chase Rice Featuring Florida Georgia Line,Drinkin' Beer. Talkin' God. Amen._Chase Rice Featuring Florida Georgia Line
2021-09-25,78,Get Along Better,Drake Featuring Ty Dolla $ign,Get Along Better_Drake Featuring Ty Dolla $ign
2021-09-25,79,Cold As You,Luke Combs,Cold As You_Luke Combs
2021-09-25,80,Volvi,Aventura x Bad Bunny,Volvi_Aventura x Bad Bunny
2021-09-25,81,Memory,Kane Brown X blackbear,Memory_Kane Brown X blackbear
2021-09-25,82,Todo de Ti,Rauw Alejandro,Todo de Ti_Rauw Alejandro
2021-09-25,83,You Only Live Twice,Drake Featuring Lil Wayne & Rick Ross,You Only Live Twice_Drake Featuring Lil Wayne & Rick Ross
2021-09-25,84,Lalisa,Lisa,Lalisa_Lisa
2021-09-25,85,Get Into It (Yuh),Doja Cat,Get Into It (Yuh)_Doja Cat
2021-09-25,86,Fountains,Drake Featuring Tems,Fountains_Drake Featuring Tems
2021-09-25,87,Yonaguni,Bad Bunny,Yonaguni_Bad Bunny
2021-09-25,88,Don't Go Yet,Camila Cabello,Don't Go Yet_Camila Cabello
2021-09-25,89,Single Saturday Night,Cole Swindell,Single Saturday Night_Cole Swindell
2021-09-25,90,In Da Getto,J Balvin & Skrillex,In Da Getto_J Balvin & Skrillex
2021-09-25,91,Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,Thinking 'Bout You_Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter
2021-09-25,92,You Should Probably Leave,Chris Stapleton,You Should Probably Leave_Chris Stapleton
2021-09-25,93,Summer Of Love,Shawn Mendes & Tainy,Summer Of Love_Shawn Mendes & Tainy
2021-09-25,94,Baddest,"Yung Bleu, Chris Brown & 2 Chainz","Baddest_Yung Bleu, Chris Brown & 2 Chainz"
2021-09-25,95,Come Through,H.E.R. Featuring Chris Brown,Come Through_H.E.R. Featuring Chris Brown
2021-09-25,96,We Didn't Have Much,Justin Moore,We Didn't Have Much_Justin Moore
2021-09-25,97,Ain't Shit,Doja Cat,Ain't Shit_Doja Cat
2021-09-25,98,Cold Heart (PNAU Remix),Elton John & Dua Lipa,Cold Heart (PNAU Remix)_Elton John & Dua Lipa
2021-09-25,99,Jail,Kanye West,Jail_Kanye West
2021-09-25,100,Knowing You,Kenny Chesney,Knowing You_Kenny Chesney
2021-09-18,1,Way 2 Sexy,Drake Featuring Future & Young Thug,Way 2 Sexy_Drake Featuring Future & Young Thug
2021-09-18,2,Girls Want Girls,Drake Featuring Lil Baby,Girls Want Girls_Drake Featuring Lil Baby
2021-09-18,3,Fair Trade,Drake Featuring Travis Scott,Fair Trade_Drake Featuring Travis Scott
2021-09-18,4,Champagne Poetry,Drake,Champagne Poetry_Drake
2021-09-18,5,Knife Talk,Drake Featuring 21 Savage & Project Pat,Knife Talk_Drake Featuring 21 Savage & Project Pat
2021-09-18,6,Stay,The Kid LAROI & Justin Bieber,Stay_The Kid LAROI & Justin Bieber
2021-09-18,7,In The Bible,Drake Featuring Lil Durk & Giveon,In The Bible_Drake Featuring Lil Durk & Giveon
2021-09-18,8,Papi's Home,Drake,Papi's Home_Drake
2021-09-18,9,TSU,Drake,TSU_Drake
2021-09-18,10,Love All,Drake Featuring JAY-Z,Love All_Drake Featuring JAY-Z
2021-09-18,11,No Friends In The Industry,Drake,No Friends In The Industry_Drake
2021-09-18,12,N 2 Deep,Drake Featuring Future,N 2 Deep_Drake Featuring Future
2021-09-18,13,Bad Habits,Ed Sheeran,Bad Habits_Ed Sheeran
2021-09-18,14,Pipe Down,Drake,Pipe Down_Drake
2021-09-18,15,Good 4 U,Olivia Rodrigo,Good 4 U_Olivia Rodrigo
2021-09-18,16,7am On Bridle Path,Drake,7am On Bridle Path_Drake
2021-09-18,17,Butter,BTS,Butter_BTS
2021-09-18,18,Race My Mind,Drake,Race My Mind_Drake
2021-09-18,19,Kiss Me More,Doja Cat Featuring SZA,Kiss Me More_Doja Cat Featuring SZA
2021-09-18,20,Industry Baby,Lil Nas X & Jack Harlow,Industry Baby_Lil Nas X & Jack Harlow
2021-09-18,21,Fancy Like,Walker Hayes,Fancy Like_Walker Hayes
2021-09-18,22,IMY2,Drake Featuring Kid Cudi,IMY2_Drake Featuring Kid Cudi
2021-09-18,23,Levitating,Dua Lipa,Levitating_Dua Lipa
2021-09-18,24,Yebba's Heartbreak,Drake & Yebba,Yebba's Heartbreak_Drake & Yebba
2021-09-18,25,You Only Live Twice,Drake Featuring Lil Wayne & Rick Ross,You Only Live Twice_Drake Featuring Lil Wayne & Rick Ross
2021-09-18,26,Fountains,Drake Featuring Tems,Fountains_Drake Featuring Tems
2021-09-18,27,Get Along Better,Drake Featuring Ty Dolla $ign,Get Along Better_Drake Featuring Ty Dolla $ign
2021-09-18,28,Save Your Tears,The Weeknd & Ariana Grande,Save Your Tears_The Weeknd & Ariana Grande
2021-09-18,29,Hurricane,Kanye West,Hurricane_Kanye West
2021-09-18,30,Montero (Call Me By Your Name),Lil Nas X,Montero (Call Me By Your Name)_Lil Nas X
2021-09-18,31,Deja Vu,Olivia Rodrigo,Deja Vu_Olivia Rodrigo
2021-09-18,32,Fucking Fans,Drake,Fucking Fans_Drake
2021-09-18,33,Heat Waves,Glass Animals,Heat Waves_Glass Animals
2021-09-18,34,Essence,Wizkid Featuring Justin Bieber & Tems,Essence_Wizkid Featuring Justin Bieber & Tems
2021-09-18,35,The Remorse,Drake,The Remorse_Drake
2021-09-18,36,You Right,Doja Cat & The Weeknd,You Right_Doja Cat & The Weeknd
2021-09-18,37,Take My Breath,The Weeknd,Take My Breath_The Weeknd
2021-09-18,38,Need To Know,Doja Cat,Need To Know_Doja Cat
2021-09-18,39,Beggin',Maneskin,Beggin'_Maneskin
2021-09-18,40,Leave Before You Love Me,Marshmello X Jonas Brothers,Leave Before You Love Me_Marshmello X Jonas Brothers
2021-09-18,41,Off The Grid,Kanye West,Off The Grid_Kanye West
2021-09-18,42,Happier Than Ever,Billie Eilish,Happier Than Ever_Billie Eilish
2021-09-18,43,If I Didn't Love You,Jason Aldean & Carrie Underwood,If I Didn't Love You_Jason Aldean & Carrie Underwood
2021-09-18,44,Family Ties,Baby Keem & Kendrick Lamar,Family Ties_Baby Keem & Kendrick Lamar
2021-09-18,45,Pepas,Farruko,Pepas_Farruko
2021-09-18,46,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),Leave The Door Open_Silk Sonic (Bruno Mars & Anderson .Paak)
2021-09-18,47,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,Peaches_Justin Bieber Featuring Daniel Caesar & Giveon
2021-09-18,48,Waves,Luke Bryan,Waves_Luke Bryan
2021-09-18,49,Traitor,Olivia Rodrigo,Traitor_Olivia Rodrigo
2021-09-18,50,Moon,Kanye West,Moon_Kanye West
2021-09-18,51,Things A Man Oughta Know,Lainey Wilson,Things A Man Oughta Know_Lainey Wilson
2021-09-18,52,Country Again,Thomas Rhett,Country Again_Thomas Rhett
2021-09-18,53,Chasing After You,Ryan Hurd With Maren Morris,Chasing After You_Ryan Hurd With Maren Morris
2021-09-18,54,Arcade,Duncan Laurence,Arcade_Duncan Laurence
2021-09-18,55,Rumors,Lizzo Featuring Cardi B,Rumors_Lizzo Featuring Cardi B
2021-09-18,56,Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs,Cold Beer Calling My Name_Jameson Rodgers Featuring Luke Combs
2021-09-18,57,Thot Shit,Megan Thee Stallion,Thot Shit_Megan Thee Stallion
2021-09-18,58,Jail,Kanye West,Jail_Kanye West
2021-09-18,59,Late At Night,Roddy Ricch,Late At Night_Roddy Ricch
2021-09-18,60,A-O-K,Tai Verdes,A-O-K_Tai Verdes
2021-09-18,61,I Was On A Boat That Day,Old Dominion,I Was On A Boat That Day_Old Dominion
2021-09-18,62,Wockesha,Moneybagg Yo,Wockesha_Moneybagg Yo
2021-09-18,63,Sharing Locations,Meek Mill Featuring Lil Baby & Lil Durk,Sharing Locations_Meek Mill Featuring Lil Baby & Lil Durk
2021-09-18,64,Every Chance I Get,DJ Khaled Featuring Lil Baby & Lil Durk,Every Chance I Get_DJ Khaled Featuring Lil Baby & Lil Durk
2021-09-18,65,Ok Ok,Kanye West,Ok Ok_Kanye West
2021-09-18,66,Praise God,Kanye West,Praise God_Kanye West
2021-09-18,67,Skate,Silk Sonic (Bruno Mars & Anderson .Paak),Skate_Silk Sonic (Bruno Mars & Anderson .Paak)
2021-09-18,68,Whole Lotta Money,BIA Featuring Nicki Minaj,Whole Lotta Money_BIA Featuring Nicki Minaj
2021-09-18,69,Love Again,Dua Lipa,Love Again_Dua Lipa
2021-09-18,70,Memory I Don't Mess With,Lee Brice,Memory I Don't Mess With_Lee Brice
2021-09-18,71,Drinkin' Beer. Talkin' God. Amen.,Chase Rice Featuring Florida Georgia Line,Drinkin' Beer. Talkin' God. Amen._Chase Rice Featuring Florida Georgia Line
2021-09-18,72,You Time,Scotty McCreery,You Time_Scotty McCreery
2021-09-18,73,Todo de Ti,Rauw Alejandro,Todo de Ti_Rauw Alejandro
2021-09-18,74,Buy Dirt,Jordan Davis Featuring Luke Bryan,Buy Dirt_Jordan Davis Featuring Luke Bryan
2021-09-18,75,2055,Sleepy Hallow,2055_Sleepy Hallow
2021-09-18,76,Cold As You,Luke Combs,Cold As You_Luke Combs
2021-09-18,77,Volvi,Aventura x Bad Bunny,Volvi_Aventura x Bad Bunny
2021-09-18,78,Junya,Kanye West,Junya_Kanye West
2021-09-18,79,Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert,Drunk (And I Don't Wanna Go Home)_Elle King & Miranda Lambert
2021-09-18,80,Woman,Doja Cat,Woman_Doja Cat
2021-09-18,81,We Didn't Have Much,Justin Moore,We Didn't Have Much_Justin Moore
2021-09-18,82,Gyalis,Capella Grey,Gyalis_Capella Grey
2021-09-18,83,Wild Side,Normani Featuring Cardi B,Wild Side_Normani Featuring Cardi B
2021-09-18,84,Yonaguni,Bad Bunny,Yonaguni_Bad Bunny
2021-09-18,85,Believe What I Say,Kanye West,Believe What I Say_Kanye West
2021-09-18,86,Memory,Kane Brown X blackbear,Memory_Kane Brown X blackbear
2021-09-18,87,Blue Note$ II,Meek Mill Featuring Lil Uzi Vert,Blue Note$ II_Meek Mill Featuring Lil Uzi Vert
2021-09-18,88,Get Into It (Yuh),Doja Cat,Get Into It (Yuh)_Doja Cat
2021-09-18,89,My Boy,Elvie Shane,My Boy_Elvie Shane
2021-09-18,90,Single Saturday Night,Cole Swindell,Single Saturday Night_Cole Swindell
2021-09-18,91,Jonah,Kanye West,Jonah_Kanye West
2021-09-18,92,You Should Probably Leave,Chris Stapleton,You Should Probably Leave_Chris Stapleton
2021-09-18,93,Don't Go Yet,Camila Cabello,Don't Go Yet_Camila Cabello
2021-09-18,94,Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,Thinking 'Bout You_Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter
2021-09-18,95,Jesus Lord,Kanye West,Jesus Lord_Kanye West
2021-09-18,96,Summer Of Love,Shawn Mendes & Tainy,Summer Of Love_Shawn Mendes & Tainy
2021-09-18,97,Ain't Shit,Doja Cat,Ain't Shit_Doja Cat
2021-09-18,98,Motley Crew,Post Malone,Motley Crew_Post Malone
2021-09-18,99,Remote Control,Kanye West,Remote Control_Kanye West
2021-09-18,100,Baddest,"Yung Bleu, Chris Brown & 2 Chainz","Baddest_Yung Bleu, Chris Brown & 2 Chainz"
2021-09-11,1,Butter,BTS,Butter_BTS
2021-09-11,2,Stay,The Kid LAROI & Justin Bieber,Stay_The Kid LAROI & Justin Bieber
2021-09-11,3,Bad Habits,Ed Sheeran,Bad Habits_Ed Sheeran
2021-09-11,4,Good 4 U,Olivia Rodrigo,Good 4 U_Olivia Rodrigo
2021-09-11,5,Kiss Me More,Doja Cat Featuring SZA,Kiss Me More_Doja Cat Featuring SZA
2021-09-11,6,Hurricane,Kanye West,Hurricane_Kanye West
2021-09-11,7,Industry Baby,Lil Nas X & Jack Harlow,Industry Baby_Lil Nas X & Jack Harlow
2021-09-11,8,Levitating,Dua Lipa,Levitating_Dua Lipa
2021-09-11,9,Fancy Like,Walker Hayes,Fancy Like_Walker Hayes
2021-09-11,10,Jail,Kanye West,Jail_Kanye West
2021-09-11,11,Off The Grid,Kanye West,Off The Grid_Kanye West
2021-09-11,12,Ok Ok,Kanye West,Ok Ok_Kanye West
2021-09-11,13,Deja Vu,Olivia Rodrigo,Deja Vu_Olivia Rodrigo
2021-09-11,14,Save Your Tears,The Weeknd & Ariana Grande,Save Your Tears_The Weeknd & Ariana Grande
